,DPPA3,PRDM14,POU5F1,MAEL,DNMT1,KLF4,SYCP3,NANOG,UTF1,DAZL,KLF2,KIT,DDX4,GATA6,DNMT3B,GATA4,UHRF1,TFAP2C,DNMT3L,LIN28A,DNMT3A,PIWIL1,DND1,GATA2,AFP,WT1,TET1,SOX17,RUNX1,TET2,PRDM1,CD38,CD34,SOX2,TET3,CNTNAP4,HNF4A,NOS3,ITGB3,HAND1,FOXA2,LHX9,TF,TNFRSF8,Mar-05,MYSM1,Dec-01,DZIP3,RPS6,RPSA,NPM1,RPS6KB2,HSPA6,HSF4,ACTC1,RPRM,HNMT,PABPC1,DPPA2,ACTG1,PCNA,ATP10A,RHO,DNAI1,POU4F2,SLC25A27,TCP1,CFB,TCN2,SLC25A3,PCLO,DPPA4,PTPRZ1,SLC25A5,PGAM1,NPLOC4,TCL1A,PPEF1,GPT,SLC25A4,COX6A1,ALDOA,CSDE1,LCP1,DPPA5,STMN1,TCF7L2,LDHA,HSPB8,ENG,GPX1,RHOA,KPNA2,APCS,TPI1,TPH2,NAP1L1,PTTG1,DNAJB6,CCT6A,DNAJB5,KNTC1,CKS2,ATF3,MYBL2,HMCN1,ATP5O,CCNA2,FABP4,SNAP25,HMGCS2,FABP5,STK4,HSPA5,ENO1,CCT7,AMD1,COX18,PFKP,HSP90B1,PGK1,RGMA,OBSL1,SOCS5,RPIA,RGS2,UBE2C,AURKA,ALX4,CCT6B,RPL5,CCNB1,PGF,GSTA3,ADRB3,HAS1,PFDN5,PRDX1,SIX6,ITGB1,PPP1CC,MYB,CCS,APEX1,PF4,HAT1,RRM2,BOC,COX8A,HMGB1,BOD1,BIK,OAS1,CCNA1,UGP2,TMEM66,TAL1,PNMT,GINS2,AGXT,PDHA2,DNAJA4,MDH1,CAP1,GNL3,RRAS2,PNN,KRT18,FTCD,KRT19,NAE1,NADSYN1,EIF2B1,CRYAB,MAD2L1,CKS1B,LZTS2,HSPA4L,WEE1,TRIM28,ESX1,AUH,GNAS,HSPG2,DKC1,CDK6,COX6A2,UBE2B,CALCRL,AHCY,PPA1,XRCC5,CDK7,NLRP4,RAC1,CDC20,GNG2,FOS,MET,SMOC2,CCNB2,XRCC1,MSH2,AURKB,DISP2,MAT1A,SUGT1,MAT2A,FOLR1,MSC,CSMD2,DNM1L,ETFA,ATF4,S1PR3,KRT15,TMEM64,ODC1,ITGAV,KRT8,SAT1,TXK,CKB,CDC16,HERC5,SHOX2,SIAH1,SET,HMGN2,MID2,HSPH1,SMS,ALPL,GHR,MYC,VIM,RBPJ,RBP4,NEDD8,IFITM1,PTPN12,PDK4,HNRNPA2B1,HSPA2,SNW1,NLRP5,NOLC1,TIMM9,PPIA,CST7,SARM1,GTSE1,DDX10,GTSF1,GRPEL1,NOL3,PHOX2B,MDH1B,MANF,RUNX3,GRM7,CRK,VDAC1,SVIL,CRHR2,ETV2,HERC3,CDH6,IER3,YWHAH,CYCS,PARK2,ADSL,DNAJC9,IFITM2,NECAB1,HSPE1,ANTXR1,SESN2,USP16,DNAJB1,SRM,RBBP5,HSD17B10,ETV4,CFL1,OAT,UXT,SOD1,MANBA,TIMM23,GSTP1,ING2,ACADL,UGGT2,ACP1,HSPA4,SERTAD1,CBS,UBE2T,NDUFAB1,TXN,UBE2S,MADD,YES1,CDK1,DDIT3,PRDX2,PSMG2,DNAJC8,PGRMC1,ANXA2,SERPINH1,DNAJA1,CBX3,PARP1,HADHB,RBBP7,ACOX3,SUGP1,DNAJC15,BRDT,PRAME,PLTP,PSME1,UBXN4,ASH2L,DBI,DHRS9,ANAPC11,PRDX3,IDH1,VHL,CHDH,DBH,PMAIP1,NLRP3,ADH1A,SSR4,ID2,BRD8,BNIP3L,PRLR,COX7A2L,DNAJC14,NDUFA8,PAK1,STX11,MIF,TIMM10,PPT2,PSENEN,HSPA1A,ACADM,PTP4A2,IFIT3,SSH3,TUBB2B,TIMM22,DNAJC7,CDK4,SKP1,CDC25B,CCNE1,PCP4L1,TUBB3,AMT,COMT,BIRC2,PRMT3,ALPK2,HSCB,NLRP9,PDLIM1,BCCIP,CCND3,SLC2A2,TALDO1,DAPK1,DDIT4,PA2G4,SLC2A3,MBD4,SOX15,LAP3,GPX3,BNIP2,DDB1,CDC25A,LGALS1,WBSCR22,SDHB,SOX1,PIAS1,MGST1,WDR87,NCK1,CSNK2A1,UQCRH,ACAA1,RPN1,EZR,ACAT2,BEX2,NDUFV2,SGCE,PAK1IP1,GPX4,PTN,DCX,DUSP12,CUBN,THAP11,MTCP1,CTSB,BCAT2,KITLG,TH,CDK2,ETV6,IFITM3,PRMT5,CAMKK2,CALR,SPA17,BAK1,BAZ1A,PDHB,ING3,ID4,SFRP1,RAB4A,UBE2D3,ACAT1,YY1AP1,LTA4H,LTA,ATP5G1,YWHAE,EZH2,NFKBIA,OTX1,OTX2,BFAR,FIS1,TOP1,ATP5F1,LRPPRC,BOK,KLF5,SSU72
Cell_1,16,0,2,11,15,0,9,0,0,8,7,7,9,0,9,4,13,0,0,3,4,3,5,0,0,0,0,0,1,2,0,3,0,0,6,2,0,0,0,0,0,0,0,0,5,5,1,3,14,15,14,1,0,0,0,1,0,11,0,14,15,0,0,1,1,0,8,0,0,9,3,0,0,13,0,1,15,4,0,2,11,4,11,0,16,6,2,5,0,5,7,12,8,0,4,3,11,16,11,6,0,3,11,0,4,3,9,9,0,0,0,10,6,4,2,3,12,1,5,8,8,7,1,2,7,14,13,15,0,1,11,12,0,0,0,0,9,7,0,4,9,0,2,9,0,6,9,0,9,12,16,0,0,1,11,6,0,0,10,0,0,3,10,8,6,5,9,2,2,0,9,2,9,0,10,15,1,8,0,6,0,5,4,0,12,0,0,8,0,9,6,5,14,15,11,10,5,7,0,0,12,6,9,10,0,4,11,6,0,0,0,4,14,7,0,0,0,14,3,0,6,0,3,3,2,0,11,9,7,0,7,7,0,0,0,0,9,0,8,0,3,0,5,1,10,7,7,10,12,0,0,10,10,10,10,0,0,1,10,0,4,11,9,1,0,0,4,0,1,8,3,1,8,13,0,2,10,0,8,9,4,5,7,5,0,11,10,8,11,0,8,4,7,0,2,5,5,1,0,11,12,9,8,3,7,3,3,6,10,9,2,0,0,13,3,10,5,14,1,1,9,8,0,0,6,11,3,11,0,9,10,10,4,1,1,0,0,0,8,3,6,10,0,10,4,8,5,0,5,4,9,6,11,1,10,0,0,3,5,6,1,11,8,8,16,9,0,0,8,0,0,3,11,11,8,5,0,10,0,6,10,0,12,10,5,0,2,6,8,10,9,11,1,12,4,0,0,7,6,6,2,11,8,0,9,2,12,3,10,1,7,2,2,3,4,6,0,0,0,3,0,6,2,5,3,0,11,6,12,0,0,5,10,9,8,10,0,7,8,4,14,0,11,9,3,11,6,3,2,7,6
Cell_2,16,0,3,10,14,1,9,0,0,8,6,7,9,0,9,4,13,0,0,3,5,4,3,0,0,0,0,0,1,3,0,3,0,0,6,2,0,0,0,0,0,0,0,0,6,5,1,4,14,13,14,0,0,0,0,0,0,11,0,13,15,0,0,1,1,0,8,0,0,9,4,0,1,14,1,1,15,3,0,1,11,3,11,0,15,5,2,5,0,4,7,12,7,0,5,3,11,16,10,6,0,4,10,0,4,3,9,10,0,0,0,9,7,4,2,3,12,1,4,10,8,6,0,1,8,14,13,14,0,1,12,12,0,0,0,0,8,6,0,5,9,0,2,8,0,7,9,0,9,12,16,1,0,0,10,5,0,0,10,0,0,3,10,8,6,6,8,3,2,0,9,2,9,0,10,15,1,9,0,5,0,5,5,0,11,0,0,8,0,8,6,6,14,14,10,10,5,8,0,1,11,7,9,9,0,3,11,7,2,0,0,5,14,5,0,0,1,13,3,1,6,0,2,3,1,1,10,9,8,0,7,7,0,0,0,0,8,0,8,0,3,0,5,2,10,7,7,9,12,0,0,9,10,9,10,0,0,1,11,0,3,11,9,1,0,0,5,0,1,8,3,1,7,12,0,2,10,0,7,9,4,5,7,5,0,11,11,8,11,0,8,4,6,0,3,7,6,0,0,12,11,9,7,3,8,4,4,5,9,8,1,0,0,13,3,9,4,13,1,1,9,8,0,0,6,11,3,10,0,9,10,10,4,0,0,0,0,0,8,3,5,9,0,9,4,8,6,0,4,3,9,7,11,1,9,1,0,3,5,6,2,11,8,8,15,10,0,0,8,0,0,3,11,11,8,5,0,10,1,5,10,1,12,10,4,0,1,7,8,9,9,11,3,11,4,0,1,6,6,6,2,11,8,0,8,1,11,2,10,1,7,1,2,2,5,6,0,0,0,3,0,6,1,5,1,0,11,5,11,0,0,5,10,9,8,9,0,6,8,5,14,0,11,9,2,10,5,3,0,7,6
Cell_3,16,0,4,10,15,1,10,0,0,8,6,6,9,0,9,5,13,0,0,2,5,4,5,0,0,0,0,0,1,3,0,3,0,0,6,2,0,0,0,0,0,0,0,0,5,5,1,4,14,14,14,0,0,0,0,1,0,12,0,13,15,0,0,1,0,0,8,0,0,9,4,0,1,14,1,1,16,2,0,1,11,3,12,0,15,5,1,5,0,4,7,12,7,0,5,3,11,16,10,6,0,4,10,0,4,3,9,9,0,0,0,9,7,5,2,3,12,1,4,10,9,7,0,2,8,15,13,15,0,2,12,12,0,0,0,0,8,7,0,4,9,0,2,8,0,7,9,0,9,12,16,1,0,1,10,5,1,0,10,0,0,3,10,8,7,5,9,3,2,0,9,2,9,0,10,15,1,8,0,6,0,5,5,0,12,0,0,8,0,8,6,6,15,14,10,10,5,8,0,1,12,7,9,9,0,3,11,7,1,0,0,5,14,6,0,0,1,14,3,0,5,0,3,4,2,0,9,8,8,0,7,7,0,0,0,2,8,0,8,0,3,0,5,2,10,8,7,9,13,0,0,9,10,9,10,0,0,2,11,0,3,11,9,1,0,0,5,0,1,8,3,1,8,13,0,2,9,0,8,10,4,5,7,5,0,11,10,8,11,0,8,5,6,0,3,7,6,0,0,12,12,8,7,4,8,3,2,6,10,9,1,0,0,13,3,9,5,14,2,1,9,8,1,0,6,11,3,10,0,10,10,10,4,0,1,0,0,0,8,3,6,9,0,10,4,8,6,0,5,3,9,6,12,1,9,0,0,4,4,7,2,11,8,8,15,10,0,0,8,0,0,2,12,11,8,5,0,10,0,5,10,0,12,11,4,0,1,7,8,9,9,11,3,11,5,0,0,7,6,7,2,11,8,0,9,2,12,3,10,1,7,1,3,2,5,7,0,0,1,3,0,6,1,5,3,0,10,6,11,0,0,4,11,8,8,9,0,6,8,4,13,0,12,9,3,11,5,3,1,7,7
Cell_4,16,0,4,10,15,1,10,1,0,8,5,7,9,0,8,4,12,0,0,3,7,4,3,0,0,0,0,0,1,4,0,4,0,0,7,2,0,0,0,0,0,0,0,0,6,4,2,4,14,12,14,1,0,0,0,0,0,11,0,13,15,0,0,2,1,0,9,0,1,8,3,0,1,12,1,3,14,5,0,1,8,7,12,0,14,6,2,6,0,7,7,11,12,0,5,3,10,14,9,5,0,3,6,0,5,3,7,9,0,0,0,7,7,6,4,3,12,1,8,10,7,5,1,3,7,17,11,14,0,2,11,12,0,0,0,0,8,5,0,5,9,0,3,8,0,6,10,0,7,12,14,1,0,0,10,6,0,0,12,0,0,6,7,6,8,8,10,2,6,0,8,2,7,0,10,14,2,7,0,4,0,3,5,0,11,0,0,7,0,7,7,6,12,14,9,7,7,7,0,1,12,5,8,8,1,5,11,8,2,0,0,6,12,7,0,0,1,11,4,0,4,0,7,6,3,0,9,10,10,0,7,9,0,0,0,0,7,0,8,0,6,0,5,4,10,8,7,7,10,0,0,8,11,12,9,0,0,1,9,0,4,10,9,1,0,0,5,0,2,8,4,2,6,10,0,1,8,0,7,10,10,4,6,4,0,11,8,7,8,0,9,2,6,0,3,7,7,1,0,8,9,7,8,6,8,7,3,6,9,9,0,1,0,12,4,9,4,12,2,3,9,7,0,0,5,10,4,8,0,6,8,8,4,0,1,0,0,0,6,3,6,8,0,9,5,7,6,0,3,2,7,5,8,1,9,0,1,3,5,6,4,10,9,7,12,8,1,0,7,0,0,3,12,8,7,3,0,8,0,4,9,0,11,9,3,0,3,7,8,6,6,9,2,11,4,0,3,7,5,4,4,11,7,0,6,1,10,2,9,1,6,1,4,2,6,6,0,0,2,3,0,6,1,6,3,2,10,4,11,0,0,5,11,7,7,9,0,5,8,5,13,0,13,8,3,11,5,3,1,7,8
Cell_5,17,0,4,10,15,0,10,0,0,8,6,7,9,0,8,3,12,1,0,3,6,3,4,0,0,0,0,0,1,4,0,5,0,0,7,1,0,0,0,0,0,0,0,0,6,4,1,5,14,12,14,1,0,0,0,0,0,10,0,13,15,0,0,1,0,0,9,0,1,3,4,0,0,11,0,2,15,5,0,1,8,7,12,0,15,6,1,6,0,7,6,11,13,0,6,3,10,15,10,3,0,3,7,0,6,3,8,9,0,0,0,7,7,8,5,2,11,1,6,10,6,5,0,2,7,17,11,14,0,2,12,12,0,0,0,0,8,7,0,5,10,0,3,8,0,6,10,0,7,11,16,1,0,0,11,7,0,0,12,0,0,7,8,5,9,8,9,2,5,0,8,2,8,0,11,14,3,7,0,4,0,4,5,0,11,0,0,5,0,7,6,6,13,14,9,7,7,6,0,0,13,5,8,8,1,5,9,7,0,0,0,6,13,8,0,0,1,12,3,0,3,0,5,7,4,1,9,10,10,0,5,9,0,0,0,1,7,0,8,0,5,0,6,5,10,9,7,7,10,0,0,8,11,12,10,0,0,1,9,0,3,9,9,0,0,0,4,0,1,8,4,2,6,11,0,1,8,0,6,10,10,4,6,3,0,11,9,7,8,0,9,3,5,0,3,7,7,1,0,9,9,7,8,6,8,7,4,5,9,9,0,0,0,13,4,9,4,13,2,4,8,7,0,0,5,10,5,8,0,7,9,8,4,0,1,0,0,0,6,2,6,8,0,10,5,8,6,0,3,2,7,5,9,1,9,0,1,3,6,6,1,11,9,7,13,8,0,0,8,0,0,2,13,8,8,3,0,8,0,5,9,1,11,8,3,0,3,6,8,6,8,9,3,10,3,1,2,8,6,4,4,11,7,0,6,2,10,1,9,1,6,1,4,2,7,6,0,0,1,2,0,6,1,6,2,1,11,4,11,0,0,4,11,7,8,8,0,5,9,4,13,0,14,8,3,11,6,2,1,6,8
Cell_6,16,0,4,10,15,1,10,0,0,7,3,6,9,0,8,2,12,0,0,3,6,3,4,0,0,0,0,1,1,4,0,5,0,0,8,2,0,0,0,0,0,0,0,0,5,5,2,5,14,12,13,1,0,0,0,0,0,11,0,12,15,0,0,2,1,0,9,0,1,2,4,0,0,11,0,3,13,5,0,2,8,7,12,0,15,6,3,7,0,7,6,11,13,0,6,2,10,15,9,2,0,3,7,0,6,4,8,9,0,0,0,7,7,7,4,2,11,1,6,10,7,5,1,3,6,16,10,13,0,3,12,12,0,0,0,0,8,6,0,5,9,0,2,8,0,6,10,0,6,12,15,0,0,1,10,6,0,0,11,0,1,6,6,5,8,8,10,3,4,0,7,3,8,0,11,13,2,7,0,4,0,4,5,0,11,0,0,6,0,7,6,5,11,14,10,8,6,7,0,0,11,5,8,7,1,4,10,8,0,0,0,6,13,7,0,1,1,11,4,0,3,0,6,6,4,0,8,10,10,0,6,8,0,0,0,1,8,0,8,0,6,0,5,4,10,8,7,7,9,0,0,9,11,11,9,0,0,1,9,0,4,10,9,1,0,0,4,0,1,7,4,2,6,10,0,0,7,0,6,9,9,4,7,4,0,10,8,7,8,0,9,2,5,0,3,7,6,1,0,9,8,6,8,6,8,6,1,5,8,9,0,0,0,12,4,9,3,12,3,3,8,7,1,0,6,10,4,8,0,6,9,8,4,0,1,0,0,0,6,3,7,8,0,9,5,7,6,0,3,3,7,5,8,2,9,0,0,2,6,6,2,10,8,8,13,8,0,0,7,0,0,3,11,8,7,4,0,8,1,4,10,0,11,8,3,0,2,6,8,6,6,8,2,10,2,1,3,8,5,5,4,11,7,0,5,2,10,1,9,1,5,1,3,2,7,6,0,1,1,2,0,6,0,6,4,2,11,3,11,0,0,4,11,6,7,8,0,5,8,4,12,0,13,8,3,11,5,2,1,6,8
Cell_7,19,0,4,12,18,0,10,0,0,8,6,7,9,0,7,3,13,1,0,4,6,3,4,0,0,0,0,0,0,3,0,4,0,0,7,2,0,0,0,0,0,0,0,1,5,3,2,3,16,15,16,0,0,0,0,0,0,13,0,15,17,0,0,0,1,0,10,0,1,9,3,0,0,13,0,3,17,5,0,0,9,8,14,0,18,6,2,8,0,6,6,12,15,0,6,1,12,17,9,3,0,2,7,0,6,3,8,9,0,0,0,8,7,7,5,3,13,1,7,10,6,6,0,2,6,20,11,16,0,2,13,14,0,0,0,0,9,6,0,5,10,0,3,8,0,7,12,0,8,12,16,1,0,0,12,6,0,0,14,0,1,6,9,7,9,8,10,2,6,0,8,3,7,1,12,16,3,8,0,4,0,2,4,0,13,0,0,6,0,8,6,5,15,16,10,9,6,6,0,0,14,4,9,8,1,6,12,9,1,0,0,5,15,8,0,0,0,13,3,0,3,0,7,6,3,0,8,11,11,0,7,11,0,0,0,2,7,0,8,0,5,0,5,3,12,8,7,7,13,0,0,9,12,13,11,0,0,1,10,0,4,10,9,1,0,0,4,0,1,7,4,1,7,13,0,1,9,0,6,10,11,3,7,4,0,13,10,7,9,0,10,3,5,0,2,7,7,1,0,9,10,7,8,5,8,7,2,5,10,10,0,1,0,14,4,10,3,14,1,3,8,8,0,0,4,11,4,8,0,8,9,9,4,0,1,0,0,0,6,1,7,9,0,10,5,7,6,0,3,2,7,4,9,0,9,0,1,4,5,5,1,12,9,7,16,9,0,0,8,0,0,2,13,9,7,4,0,10,0,3,11,0,13,9,3,0,2,6,8,9,7,10,2,12,4,0,3,8,6,5,4,12,7,0,6,1,12,1,10,1,5,0,4,2,6,5,0,0,1,3,0,5,0,6,3,1,10,2,12,0,0,4,14,7,8,9,0,4,10,3,13,0,16,8,3,11,5,2,1,6,8
Cell_8,19,0,4,11,18,1,10,0,0,8,6,7,9,0,8,3,14,0,0,4,6,3,4,0,0,0,0,0,1,3,0,4,0,0,8,1,0,0,0,0,0,0,0,0,5,4,1,4,15,14,16,0,0,0,0,0,0,13,0,14,16,0,0,1,1,0,9,0,0,9,4,0,1,13,0,2,17,4,0,1,9,7,13,0,17,6,2,7,0,6,5,12,15,0,7,2,12,17,9,4,0,2,8,0,6,3,7,9,0,0,0,8,7,7,5,4,13,1,7,10,6,6,0,3,6,19,10,15,0,3,13,14,0,0,0,0,9,7,0,5,10,0,3,8,0,6,11,0,8,12,16,1,0,0,11,7,0,0,13,0,0,6,8,6,9,7,10,2,5,0,8,2,8,0,12,15,2,8,0,4,0,3,5,0,12,0,0,7,0,8,6,5,14,17,10,9,6,6,0,0,14,5,9,8,1,6,11,8,1,0,0,5,14,8,0,0,0,12,3,0,2,0,7,6,3,0,8,10,11,0,7,10,0,0,0,1,7,0,8,0,6,0,6,3,12,8,7,7,12,0,0,9,12,14,11,0,0,1,10,0,3,10,10,1,0,0,4,0,1,7,3,1,6,12,0,1,9,0,6,10,11,4,6,4,0,12,9,8,9,0,10,2,5,0,3,7,7,1,0,9,10,7,8,5,8,6,2,4,10,10,1,0,0,14,5,10,3,14,1,4,8,8,0,0,5,11,4,8,0,7,9,9,4,1,1,0,0,0,6,2,7,9,0,9,5,7,6,0,2,3,7,5,10,1,9,0,0,4,6,6,2,11,9,7,16,8,0,0,7,0,0,2,14,9,7,4,0,10,1,3,10,0,12,9,3,0,1,6,8,8,7,10,2,11,4,0,3,9,5,4,4,12,7,0,7,1,12,1,10,1,5,0,4,2,6,5,0,0,1,3,0,5,0,6,3,1,10,3,12,0,0,4,13,7,8,10,0,5,10,3,13,0,16,8,3,11,5,2,1,7,8
Cell_9,19,0,4,11,17,1,9,0,0,8,6,7,9,0,8,4,14,0,0,6,7,3,4,0,0,0,0,0,1,3,0,4,0,0,8,1,0,0,0,0,0,0,0,0,5,4,1,3,15,14,15,0,0,0,0,0,0,13,0,14,16,0,0,1,0,0,9,0,0,8,3,0,0,12,1,3,17,5,0,0,8,8,14,0,17,5,3,7,0,8,5,12,14,0,6,2,12,18,9,3,0,2,6,0,6,3,7,10,0,0,0,6,7,7,5,4,13,1,7,10,7,6,0,2,5,19,8,15,0,2,13,14,0,0,0,0,8,5,0,5,10,0,2,8,0,7,11,0,8,12,17,1,0,0,11,6,0,0,13,0,0,6,8,6,9,7,10,2,6,0,8,2,8,0,12,14,3,8,0,5,0,3,6,0,12,0,0,5,0,7,6,5,14,17,10,9,7,4,0,0,13,5,9,8,1,6,11,8,2,0,0,5,14,8,0,1,0,14,4,0,2,0,6,6,3,0,7,11,11,0,5,10,0,0,0,1,7,0,7,0,5,0,5,2,11,10,6,7,12,0,0,8,12,13,10,0,0,1,10,0,3,10,9,1,0,0,4,0,1,7,3,1,7,11,0,1,8,1,7,10,11,4,6,4,0,12,10,8,8,0,10,2,4,0,3,7,6,1,0,7,10,6,8,6,8,5,3,5,8,9,0,0,0,14,4,10,3,14,2,4,7,7,1,0,4,10,3,7,0,8,9,9,3,1,2,1,0,0,6,2,7,8,0,9,5,6,6,0,2,1,7,5,8,0,9,0,0,3,5,6,2,11,10,8,15,8,0,0,8,0,0,2,14,9,7,4,0,10,0,3,10,0,12,9,3,0,2,7,8,8,6,9,2,11,4,1,3,8,6,5,4,12,7,0,5,1,10,1,10,1,4,0,4,2,7,6,0,0,2,2,0,5,0,6,4,1,10,3,11,0,0,4,13,5,8,10,0,4,10,3,13,0,16,8,2,11,5,1,2,6,8
Cell_10,19,0,5,10,18,1,10,1,0,7,6,7,8,0,8,4,13,1,0,6,7,2,4,0,0,0,0,0,1,3,0,4,0,0,8,2,0,0,0,0,0,0,0,0,4,4,1,3,16,14,15,1,0,0,0,1,0,12,0,14,16,0,0,1,0,0,9,0,0,8,3,0,0,12,0,2,17,5,0,0,8,8,13,0,16,5,2,6,0,8,6,12,14,0,7,1,12,17,9,3,0,2,6,0,7,3,7,9,0,0,0,7,7,7,4,3,12,1,7,10,6,6,1,2,4,19,8,15,0,2,13,13,0,0,0,0,9,6,0,5,9,0,3,8,0,5,11,0,8,12,16,0,0,0,11,6,0,0,13,0,0,6,7,6,9,8,10,2,6,0,8,2,7,0,11,14,3,8,0,5,0,3,5,0,12,0,0,6,0,8,6,6,14,16,10,8,7,5,0,0,13,6,8,8,1,6,11,8,2,0,0,5,13,9,0,0,1,13,3,0,2,0,6,5,3,1,7,11,11,0,6,9,0,0,0,1,6,0,8,0,5,0,6,2,11,9,7,6,12,0,0,9,12,14,10,0,0,1,9,0,3,10,9,1,0,0,3,0,2,7,3,1,7,11,0,1,8,1,7,10,10,4,7,4,0,12,8,7,8,0,10,1,5,0,3,7,6,0,0,7,10,6,8,6,8,5,2,5,9,10,1,0,0,13,4,10,2,13,2,4,8,8,1,0,5,10,4,7,0,7,9,8,4,0,1,0,0,0,6,3,7,8,0,9,6,7,6,0,3,1,7,6,7,1,9,0,0,4,6,6,2,11,10,6,15,8,0,0,8,0,0,3,14,9,6,4,0,9,0,3,10,0,12,9,2,0,2,7,8,8,6,9,2,10,4,1,2,8,6,4,3,12,7,0,5,1,10,1,10,1,5,0,4,2,7,5,0,0,2,2,0,4,1,7,3,1,10,3,12,0,0,4,12,5,7,9,0,5,9,3,13,0,16,8,3,11,5,2,2,6,8
